case_id,language,case_type,_source_file,_source_path,_source_row,_encoding_used,_is_empty_judgment,_duplicate_case_id,_duplicate_judgment,char_count,word_count,token_count,length_bucket,routing_decision,annotation_state
CHG_ADM_000001,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,0,utf-8-sig,False,False,False,10218,1821,9429,8K-16K,chunk_candidate,partial
CHG_ADM_000002,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,1,utf-8-sig,False,False,False,11756,2084,10749,8K-16K,chunk_candidate,partial
CHG_ADM_000003,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,2,utf-8-sig,False,False,False,15106,2692,13816,8K-16K,chunk_candidate,partial
CHG_ADM_000004,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,3,utf-8-sig,False,False,False,28889,5348,26534,16K-32K,chunk_candidate,partial
CHG_ADM_000005,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,4,utf-8-sig,False,False,False,1885,334,1685,0-4K,direct,partial
CHG_ADM_000006,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,5,utf-8-sig,False,False,False,10729,1896,9865,8K-16K,chunk_candidate,partial
CHG_ADM_000007,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,6,utf-8-sig,False,False,False,10536,1868,9680,8K-16K,chunk_candidate,partial
CHG_ADM_000008,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,7,utf-8-sig,False,False,False,10248,1887,9245,8K-16K,chunk_candidate,partial
CHG_ADM_000009,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,8,utf-8-sig,False,False,False,4122,674,3791,0-4K,direct,partial
CHG_ADM_000010,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,9,utf-8-sig,False,False,False,19426,3596,17661,16K-32K,chunk_candidate,partial
CHG_ADM_000011,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,10,utf-8-sig,False,False,False,5872,1047,5342,4K-8K,direct,partial
CHG_ADM_000012,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,11,utf-8-sig,False,False,False,9521,1802,8578,8K-16K,chunk_candidate,partial
CHG_ADM_000013,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,12,utf-8-sig,False,False,False,12300,2235,11372,8K-16K,chunk_candidate,partial
CHG_ADM_000014,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,13,utf-8-sig,False,False,False,29404,5374,27021,16K-32K,chunk_candidate,partial
CHG_ADM_000015,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,14,utf-8-sig,False,False,False,18390,3516,16676,16K-32K,chunk_candidate,partial
CHG_ADM_000016,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,15,utf-8-sig,False,False,False,17287,3091,15736,8K-16K,chunk_candidate,partial
CHG_ADM_000017,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,16,utf-8-sig,False,False,False,6446,1104,5894,4K-8K,direct,partial
CHG_ADM_000018,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,17,utf-8-sig,False,False,False,18017,3317,16302,16K-32K,chunk_candidate,partial
CHG_ADM_000019,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,18,utf-8-sig,False,False,False,13924,2522,12807,8K-16K,chunk_candidate,partial
CHG_ADM_000020,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,19,utf-8-sig,False,False,False,13526,2481,12237,8K-16K,chunk_candidate,partial
CHG_ADM_000021,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,20,utf-8-sig,False,False,False,12427,2216,11336,8K-16K,chunk_candidate,partial
CHG_ADM_000022,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,21,utf-8-sig,False,False,False,10489,1912,9469,8K-16K,chunk_candidate,partial
CHG_ADM_000023,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,22,utf-8-sig,False,False,False,32759,6122,29779,16K-32K,chunk_candidate,all_missing
CHG_ADM_000024,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,23,utf-8-sig,False,False,False,9082,1588,8257,8K-16K,chunk_candidate,partial
CHG_ADM_000025,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,24,utf-8-sig,False,False,False,12917,2382,11817,8K-16K,chunk_candidate,partial
CHG_ADM_000026,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,25,utf-8-sig,False,False,False,14017,2504,12730,8K-16K,chunk_candidate,partial
CHG_ADM_000027,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,26,utf-8-sig,False,False,False,17384,3125,15890,8K-16K,chunk_candidate,partial
CHG_ADM_000029,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,27,utf-8-sig,False,False,False,9065,1612,8287,8K-16K,chunk_candidate,partial
CHG_ADM_000030,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,28,utf-8-sig,False,False,False,30568,5564,27876,16K-32K,chunk_candidate,partial
CHG_ADM_000031,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,29,utf-8-sig,False,False,False,32759,5840,29981,16K-32K,chunk_candidate,all_missing
CHG_ADM_000032,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,30,utf-8-sig,False,False,False,8313,1383,7610,4K-8K,chunk_candidate,partial
CHG_ADM_000033,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,31,utf-8-sig,False,False,False,18189,3294,16632,16K-32K,chunk_candidate,partial
CHG_ADM_000034,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,32,utf-8-sig,False,False,False,19132,3308,17500,16K-32K,chunk_candidate,partial
CHG_ADM_000035,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,33,utf-8-sig,False,False,False,4516,847,4050,4K-8K,direct,partial
CHG_ADM_000036,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,34,utf-8-sig,False,False,False,10250,1806,9310,8K-16K,chunk_candidate,partial
CHG_ADM_000037,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,35,utf-8-sig,False,False,False,27928,5226,25293,16K-32K,chunk_candidate,partial
CHG_ADM_000038,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,36,utf-8-sig,False,False,False,25639,4740,23154,16K-32K,chunk_candidate,partial
CHG_ADM_000039,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,37,utf-8-sig,False,False,False,24413,4561,22361,16K-32K,chunk_candidate,partial
CHG_ADM_000040,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,38,utf-8-sig,False,False,False,14886,2565,13607,8K-16K,chunk_candidate,partial
CHG_ADM_000041,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,39,utf-8-sig,False,False,False,8390,1547,7656,4K-8K,chunk_candidate,partial
CHG_ADM_000043,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,40,utf-8-sig,False,False,False,20651,3755,18896,16K-32K,chunk_candidate,partial
CHG_ADM_000044,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,41,utf-8-sig,False,False,False,15761,2631,14520,8K-16K,chunk_candidate,partial
CHG_ADM_000045,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,42,utf-8-sig,False,False,False,32759,5986,30029,16K-32K,chunk_candidate,all_missing
CHG_ADM_000046,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,43,utf-8-sig,False,False,False,1,1,1,0-4K,direct,partial
CHG_ADM_000047,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,44,utf-8-sig,False,False,False,11386,2055,10357,8K-16K,chunk_candidate,partial
CHG_ADM_000048,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,45,utf-8-sig,False,False,False,16812,3083,15393,8K-16K,chunk_candidate,partial
CHG_ADM_000049,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,46,utf-8-sig,False,False,False,21020,3844,19341,16K-32K,chunk_candidate,partial
CHG_ADM_000050,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,47,utf-8-sig,False,False,False,20626,3830,18861,16K-32K,chunk_candidate,partial
CHG_ADM_000051,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,48,utf-8-sig,False,False,False,10915,1979,9791,8K-16K,chunk_candidate,partial
CHG_ADM_000052,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,49,utf-8-sig,False,False,False,9753,1820,8909,8K-16K,chunk_candidate,partial
CHG_ADM_000053,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,50,utf-8-sig,False,False,False,12714,2274,11678,8K-16K,chunk_candidate,partial
CHG_ADM_000054,Hindi,Administrative,final_merged_hindi_cleaned.csv,final_merged_hindi_cleaned.csv,51,utf-8-sig,False,False,False,12464,2128,11403,8K-16K,chunk_candidate,partial
